Human	Mouse	Rat
NT5C1A	Nt5c1a	Nt5c1a
PABPC4	Pabpc4	Pabpc4
RHBDL2	Rhbdl2	Rhbdl2
YRDC	Yrdc	Yrdc
EPHA10	Epha10	Epha10
GNL2	Gnl2	Gnl2
ZC3H12A	Zc3h12a	Zc3h12a
OSCP1	Oscp1	Oscp1
EVA1B	Eva1b	Eva1b
THRAP3	Thrap3	Thrap3
C1orf216	5730409E04Rik	C5h1orf216
ZNF362	Zfp362	Zfp362
FAM167B	Fam167b	Fam167b
IQCC	Iqcc	Iqcc
TMEM39B	Tmem39b	Tmem39b
ADGRB2	Adgrb2	Adgrb2
SERINC2	Serinc2	Serinc2
SESN2	Sesn2	Sesn2
THEMIS2	Themis2	Themis2
FAM76A	Fam76a	Fam76a
AHDC1	Ahdc1	Ahdc1
WDTC1	Wdtc1	Wdtc1
PIGV	Pigv	Pigv
CRYBG2	Crybg2	Crybg2
PDIK1L	Pdik1l	Pdik1l
MAN1C1	Man1c1	Man1c1
NCMAP	Ncmap	Ncmap
GRHL3	Grhl3	Grhl3
IL22RA1	Il22ra1	Il22ra1
ASAP3	Asap3	Asap3
ZBTB40	Zbtb40	Zbtb40
EIF4G3	Eif4g3	Eif4g3
SH2D5	Sh2d5	Sh2d5
EMC1	Emc1	Emc1
IGSF21	Igsf21	Igsf21
CROCC	Crocc	Crocc
AADACL3	Aadacl3	Aadacl3
VPS13D	Vps13d	Vps13d
FBXO44	Fbxo44	Fbxo44
TARDBP	Tardbp	Tardbp
CIROZ	Gm572	Ciroz
TMEM201	Tmem201	Tmem201
DNAJC11	Dnajc11	Dnajc11
PHF13	Phf13	Phf13
AJAP1	Ajap1	Ajap1
CEP104	Cep104	Cep104
ARHGEF16	Arhgef16	Arhgef16
TNFRSF14	Tnfrsf14	Tnfrsf14
FNDC10	Fndc10	Fndc10
C1orf159	9430015G10Rik	C5h1orf159
PLEKHN1	Plekhn1	Plekhn1
KLHL17	Klhl17	Klhl17
SAMD11	Samd11	Samd11
ELAPOR2	Elapor2	Elapor2
NUP42	Nup42	Nup42
GBX1	Gbx1	Gbx1
IQCA1L	Iqca1l	Iqca1l
GALNT11	Galnt11	Galnt11
KMT2C	Kmt2c	Kmt2c
AGBL5	Agbl5	Agbl5
DNAJC5G	Dnajc5g	Dnajc5g
HAUS3	Haus3	Haus3
ZFYVE28	Zfyve28	Zfyve28
FAM193A	Fam193a	Fam193a
TNIP2	Tnip2	Tnip2
DOK7	Dok7	Dok7
SH3TC1	Sh3tc1	Sh3tc1
ABLIM2	Ablim2	Ablim2
TADA2B	Tada2b	Tada2b
CYTL1	Cytl1	Cytl1
CPEB2	Cpeb2	Cpeb2
CC2D2A	Cc2d2a	Cc2d2a
TAPT1	Tapt1	Tapt1
SEL1L3	Sel1l3	Sel1l3
GUF1	Guf1	Guf1
SLC10A4	Slc10a4	Slc10a4
CWH43	Cwh43	Cwh43
LRRC66	Lrrc66	Lrrc66
AASDH	Aasdh	Aasdh
POLR2B	Polr2b	Polr2b
UBA6	Uba6	Uba6
GRSF1	Grsf1	Grsf1
COX18	Cox18	Cox18
PARM1	Parm1	Parm1
SDAD1	Sdad1	Sdad1
CNOT6L	Cnot6l	Cnot6l
FRAS1	Fras1	Fras1
PAQR3	Paqr3	Paqr3
TMEM150C	Tmem150c	Tmem150c
LIN54	Lin54	Lin54
PLAC8	Plac8	Plac8
GPAT3	Gpat3	Gpat3
ARHGAP24	Arhgap24	Arhgap24
LRRC8D	Lrrc8d	Lrrc8d
RPAP2	Rpap2	Rpap2
CHFR	Chfr	Chfr
GALNT9	Galnt9	Galnt9
FICD	Ficd	Ficd
TMEM119	Tmem119	Tmem119
SSH1	Ssh1	Ssh1
ALKBH2	Alkbh2	Alkbh2
MYO1H	Myo1h	Myo1h
GCN1	Gcn1	Gcn1
VSIG10	Vsig10	Vsig10
FBXO21	Fbxo21	Fbxo21
FBXW8	Fbxw8	Fbxw8
NAA25	Naa25	Naa25
PHETA1	Pheta1	Pheta1
RAD9B	Rad9b	Rad9b
B3GNT4	B3gnt4	B3gnt4
RIMBP2	Rimbp2	Rimbp2
SFSWAP	Sfswap	Sfswap
LRCH4	Lrch4	Lrch4
AGFG2	Agfg2	Agfg2
MEPCE	Mepce	Mepce
PILRA	Pilra	NA
TRAPPC14	Trappc14	Trappc14
MICALL2	Micall2	Micall2
TMEM184A	Tmem184a	Tmem184a
SNX8	Snx8	Snx8
BRAT1	Brat1	Brat1
AMZ1	Amz1	Amz1
AP5Z1	Ap5z1	Ap5z1
RADIL	Radil	Radil
TNRC18	Tnrc18	Tnrc18
FBXL18	Fbxl18	Fbxl18
ZNF12	Zfp12	Zfp12
INTS15	Ints15	Ints15
DAGLB	Daglb	Daglb
AIMP2	Aimp2	Aimp2
CCZ1	Ccz1	Ccz1
LMTK2	Lmtk2	Lmtk2
URAD	Urad	Urad
KATNAL1	Katnal1	Katnal1
USPL1	Uspl1	Uspl1
FAM221A	Fam221a	Fam221a
JAZF1	Jazf1	Jazf1
CREB5	Creb5	Creb5
FKBP14	Fkbp14	Fkbp14
PLEKHA8	Plekha8	Plekha8
ITPRID1	Itprid1	Itprid1
VOPP1	Vopp1	Vopp1
CCSER1	Ccser1	Ccser1
FOXI3	Foxi3	Foxi3
THNSL2	Thnsl2	Thnsl2
TMEM150A	Tmem150a	Tmem150a
ELMOD3	Elmod3	Elmod3
EVA1A	Eva1a	Eva1a
SLC4A5	Slc4a5	Slc4a5
MOB1A	Mob1a	Mob1a
PAIP2B	Paip2b	Paip2b
CYP26B1	Cyp26b1	Cyp26b1
SMYD5	Smyd5	Smyd5
C2orf42	C87436	C4h2orf42
ARHGAP25	Arhgap25	Arhgap25
HMCES	Hmces	Hmces
TXNRD3	Txnrd3	Txnrd3
IQSEC1	Iqsec1	Iqsec1
HDAC11	Hdac11	Hdac11
CCDC174	Ccdc174	Ccdc174
FGD5	Fgd5	Fgd5
FRMD4B	Frmd4b	Frmd4b
GXYLT2	Gxylt2	Gxylt2
PPP4R2	Ppp4r2	Ppp4r2
VGLL4	Vgll4	Vgll4
ZNF32	Zfp637	Zfp637
C1RL	C1rl	C1rl
CLEC12A	Clec12a	Clec12a
CLEC9A	Clec9a	Clec9a
CREBL2	Crebl2	Crebl2
GPRC5A	Gprc5a	Gprc5a
H2AJ	H2aj	H2aj
RERG	Rerg	Rerg
DERA	Dera	Dera
PYROXD1	Pyroxd1	Pyroxd1
STK38L	Stk38l	Stk38l
MRPS35	Mrps35	Mrps35
KLHL42	Klhl42	Klhl42
CAPRIN2	Caprin2	Caprin2
AMN1	Amn1	Amn1
VWDE	Vwde	Vwde
CCDC136	Ccdc136	Ccdc136
TSPAN33	Tspan33	Tspan33
ZC3HC1	Zc3hc1	Zc3hc1
CPA2	Cpa2	Cpa2
LINC-PINT	Lncpint	NA
MGAM	Mgam	Mgam
PRSS58	Prss58	Prss58
TCAF2	Tcaf2	Tcaf2c
ZNF212	Zfp212	NA
OSCAR	Oscar	Oscar
CNOT3	Cnot3	Cnot3
LENG8	Leng8	Leng8
PPP1R12C	Ppp1r12c	Ppp1r12c
KMT5C	Kmt5c	Kmt5c
SHISA7	Shisa7	Shisa7
ZNF628	Zfp628	Zfp628
CCDC106	Ccdc106	Ccdc106
ZSCAN18	Zscan18	Zscan18
ZSCAN22	Zscan22	NA
ZBTB45	Zbtb45	Zbtb45
PLA2G4C	Pla2g4c	Pla2g4c
ARHGAP35	Arhgap35	Arhgap35
CCDC61	Ccdc61	Ccdc61
MYPOP	Mypop	Mypop
PPM1N	Ppm1n	Ppm1n
MARK4	Mark4	Mark4
BLOC1S3	Bloc1s3	Bloc1s3
PPP1R37	Ppp1r37	Ppp1r37
ZNF221	Zfp114	NA
ZNF428	Zfp428	Zfp428
PHLDB3	Phldb3	Phldb3
LYPD4	Lypd4	Lypd4
ERFL	Erfl	Erfl
ZNF574	Zfp574	Zfp574
CXCL17	Cxcl17	Cxcl17
B3GNT8	B3gnt8	B3gnt8
B9D2	B9d2	B9d2
HNRNPUL1	Hnrnpul1	Hnrnpul1
ITPKC	Itpkc	Itpkc
BLVRB	Blvrb	Blvrb
HIPK4	Hipk4	Hipk4
SAMD4B	Samd4b	Samd4b
NCCRP1	Nccrp1	Nccrp1
FBXO27	Fbxo27	Fbxo27
ZNF382	Zfp382	NA
WDR62	Wdr62	Wdr62
ALKBH6	Alkbh6	Alkbh6
SYNE4	Syne4	Syne4
LRFN3	Lrfn3	Lrfn3
ARHGAP33	Arhgap33	Arhgap33
U2AF1L4	U2af1l4	U2af1l4
FFAR2	Ffar2	Ffar2
FFAR3	Ffar3	Ffar3
FFAR1	Ffar1	Ffar1
GARRE1	Garre1	Garre1
KCTD15	Kctd15	Kctd15
DPY19L3	Dpy19l3	Dpy19l3
CTU1	Ctu1	Ctu1
MYBPC2	Mybpc2	Mybpc2
TBC1D17	Tbc1d17	Tbc1d17
PRR12	Prr12	Prr12
ANO5	Ano5	Ano5
LUZP2	Luzp2	Luzp2
TUBGCP5	Tubgcp5	Tubgcp5
NIPA1	Nipa1	Nipa1
MTMR10	Mtmr10	Mtmr10
LRRK1	Lrrk1	Lrrk1
ADAMTS17	Adamts17	Adamts17
SYNM	Synm	Synm
PRC1	Prc1	Prc1
ZNF592	Zfp592	Zfp592
TMC3	Tmc3	Tmc3
CREBZF	Crebzf	Crebzf
KCTD14	Kctd14	Kctd14
RSF1	Rsf1	Rsf1
GDPD4	Gdpd4	Gdpd4
EMSY	Emsy	Emsy
MOGAT2	Mogat2	Mogat2
GDPD5	Gdpd5	Gdpd5
DCHS1	Dchs1	Dchs1
TMEM41B	Tmem41b	Tmem41b
IPO7	Ipo7	Ipo7
GALNT18	Galnt18	Galnt18
INSC	Insc	Insc
PLEKHA7	Plekha7	Plekha7
SMG1	Smg1	Smg1
ACSM4	Acsm4	Acsm4
THUMPD1	Thumpd1	Thumpd1
DCUN1D3	Dcun1d3	Dcun1d3
LDAF1	Ldaf1	Ldaf1
MOSMO	Mosmo	Mosmo
VWA3A	Vwa3a	Vwa3a
COG7	Cog7	Cog7
PALB2	Palb2	Palb2
TNRC6A	Tnrc6a	Tnrc6a
SLC5A11	Slc5a11	Slc5a11
KATNIP	Katnip	Katnip
TUFM	Tufm	Tufm
ATXN2L	Atxn2l	Atxn2l
INO80E	Ino80e	Ino80e
HIRIP3	Hirip3	Hirip3
KCTD13	Kctd13	Kctd13
SEZ6L2	Sez6l2	Sez6l2
ASPHD1	Asphd1	Asphd1
ZNF48	Zfp553	Znf48
ZNF768	Zfp768	Znf768
PRR14	Prr14	Prr14
CFAP119	Cfap119	Cfap119
RNF40	Rnf40	Rnf40
FBXL19	Fbxl19	Fbxl19
SETD1A	Setd1a	Setd1a
ZNF646	Zfp646	Zfp646
FUS	Fus	Fus
ARMC5	Armc5	Armc5
RUSF1	Rusf1	Rusf1
C10orf120	4933402N03Rik	C1h10orf120
PPFIA1	Ppfia1	Ppfia1
TPCN2	Tpcn2	Tpcn2
ARGLU1	Arglu1	Arglu1
PCID2	Pcid2	Pcid2
ADPRHL1	Adprhl1	Adprhl1
TMCO3	Tmco3	Tmco3
ERICH1	Erich1	Erich1
ARHGEF10	Arhgef10	Arhgef10
DKK4	Dkk4	Dkk4
NSD3	Nsd3	Nsd3
TTI2	Tti2	Tti2
MBOAT4	Mboat4	Mboat4
FGL1	Fgl1	Fgl1
HELT	Helt	Helt
NEIL3	Neil3	Neil3
GPM6A	Gpm6a	Gpm6a
CBR4	Cbr4	Cbr4
TRIM60	Trim60	Trim60
NAF1	Naf1	Naf1
PSD3	Psd3	Psd3
CSGALNACT1	Csgalnact1	Csgalnact1
YJEFN3	Yjefn3	Yjefn3
GATAD2A	Gatad2a	Gatad2a
TMEM161A	Tmem161a	Tmem161a
SUGP2	Sugp2	Sugp2
DDX49	Ddx49	Ddx49
KLHL26	Klhl26	Klhl26
MPV17L2	Mpv17l2	Mpv17l2
CCDC124	Ccdc124	Ccdc124
USHBP1	Ushbp1	Ushbp1
ANKLE1	Ankle1	Ankle1
NXNL1	Nxnl1	Nxnl1
COLGALT1	Colgalt1	Colgalt1
CIB3	Cib3	Cib3
TMEM184C	Tmem184c	Tmem184c
RTBDN	Rtbdn	Rtbdn
HEATR3	Heatr3	Heatr3
CPNE2	Cpne2	Cpne2
CCDC102A	Ccdc102a	Ccdc102a
CNOT1	Cnot1	Cnot1
SLC38A7	Slc38a7	Slc38a7
CES4A	Ces4a	Ces4a
ELMO3	Elmo3	Elmo3
FBXL9P	Fbxl9	NA
FHOD1	Fhod1	Fhod1
CARMIL2	Carmil2	Carmil2
EDC4	Edc4	Edc4
NRN1L	Nrn1l	Nrn1l
TXNL4B	Txnl4b	Txnl4b
ZNF23	Zfp612	Zfp612
CMTR2	Cmtr2	Cmtr2
VAC14	Vac14	Vac14
FCSK	Fcsk	Fcsk
DDX19B	Ddx19b	Ddx19b
AARS1	Aars1	Aars1
RFWD3	Rfwd3	Rfwd3
TMEM231	Tmem231	Tmem231
ATMIN	Atmin	Atmin
SLC38A8	Slc38a8	Slc38a8
KLHL36	Klhl36	Klhl36
KIAA0513	6430548M08Rik	6430548M08Rikl
MTHFSD	Mthfsd	Mthfsd
KLHDC4	Klhdc4	Klhdc4
IL17C	Il17c	Il17c
PIEZO1	Piezo1	Piezo1
SPG7	Spg7	Spg7
CHMP1A	Chmp1a	Chmp1a
CDK10	Cdk10	Cdk10
SPIRE2	Spire2	Spire2
NUP133	Nup133	Nup133
TTC13	Ttc13	Ttc13
MAP3K21	Map3k21	Map3k21
MMP27	Mmp27	Mmp27
CFAP300	Cfap300	Cfap300
CEP126	Cep126	Cep126
MED17	Med17	Med17
DEUP1	Deup1	Deup1
SLC36A4	Slc36a4	Slc36a4
RDH8	Rdh8	Rdh8
PPAN	Ppan	Ppan
ATG4D	Atg4d	Atg4d
KANK2	Kank2	Kank2
TMEM205	Tmem205	Tmem205
PLPPR2	Plppr2	Plppr2
IGSF9B	Igsf9b	Igsf9b
ADAMTS15	Adamts15	Adamts15
ZBTB44	Zbtb44	Zbtb44
NFRKB	Nfrkb	Nfrkb
TMEM45B	Tmem45b	Tmem45b
FOXRED1	Foxred1	Foxred1
MSANTD2	Msantd2	Msantd2
SCN3B	Scn3b	Scn3b
GRAMD1B	Gramd1b	Gramd1b
TLCD5	Tlcd5	Tlcd5
C1QTNF5	C1qtnf5	C1qtnf5
RNF214	Rnf214	Rnf214
ZBTB16	Zbtb16	Zbtb16
USP28	Usp28	Usp28
TTC12	Ttc12	Ttc12
SIK2	Sik2	Sik2
HOATZ	Hoatz	Hoatz
GLDN	Gldn	Gldn
DMXL2	Dmxl2	Dmxl2
HYKK	Hykk	Hykk
LINGO1	Lingo1	Lingo1
SNX33	Snx33	Snx33
CPLX3	Cplx3	Cplx3
LMAN1L	Lman1l	Lman1l
CORO2B	Coro2b	Coro2b
LCTL	Lctl	Lctl
HERC1	Herc1	Herc1
USP3	Usp3	Usp3
RAB8B	Rab8b	Rab8b
MINDY2	Mindy2	Mindy2
ZNF280D	Zfp280d	Zfp280d
PRTG	Prtg	Prtg
ATOSA	Atosa	Atosa
LEO1	Leo1	Leo1
SLC17A5	Slc17a5	Slc17a5
CD109	Cd109	Cd109
PLSCR4	Plscr4	Plscr4
GK5	Gk5	Gk5
PXYLP1	Pxylp1	Pxylp1
PPP2R3A	Ppp2r3a	Ppp2r3a
TOPBP1	Topbp1	Topbp1
DNAJC13	Dnajc13	Dnajc13
GLYCTK	Glyctk	Glyctk
DUSP7	Dusp7	Dusp7
PARP3	Parp3	Parp3
C3orf18	6430571L13Rik	C8h3orf18
ATRIP	Atrip	Atrip
PLXNB1	Plxnb1	Plxnb1
SCAP	Scap	Scap
SETD2	Setd2	Setd2
NBEAL2	Nbeal2	Nbeal2
PRSS50	Prss50	Prss50
ALS2CL	Als2cl	Als2cl
FAM240A	Fam240a	Fam240a
RTP3	Rtp3	Rtp3
DYNC1LI1	Dync1li1	Dync1li1
ACAA1	Acaa1b	NA
ZNF445	Zfp445	Zfp445
DHRSX	Dhrsx	Dhrsx
ALMS1	Alms1	Alms1
LANCL3	Lancl3	Lancl3
AGO1	Ago1	Ago1
SPRY3	Spry3	Spry3
SYTL5	Sytl5	Sytl5
NYX	Nyx	Nyx
SLC9A7	Slc9a7	Slc9a7
USP11	Usp11	Usp11
GPR119	Gpr119	Gpr119
INTS6L	Ints6l	Ints6l
MMGT1	Mmgt1	Mmgt1
SLC9A6	Slc9a6	Slc9a6
ADGRG4	Adgrg4	Adgrg4
TMEM185A	Tmem185a	Tmem185a
MAGEA10	Magea10	Magea10
PCYT1B	Pcyt1b	Pcyt1b
PDK3	Pdk3	Pdk3
KLHL15	Klhl15	Klhl15
STARD8	Stard8	Stard8
ERCC6L	Ercc6l	Ercc6l
KLHL4	Klhl4	Klhl4
TCEAL1	Tceal1	Tceal1
RBM41	Rbm41	Rbm41
NXT2	Nxt2	Nxt2
LHFPL1	Lhfpl1	Lhfpl1
GNL3L	Gnl3l	Gnl3l
ADGRG2	Adgrg2	Adgrg2
PPEF1	Ppef1	Ppef1
FANCB	Fancb	Fancb
GEMIN8	Gemin8	Gemin8
OFD1	Ofd1	Ofd1
LRP11	Lrp11	Lrp11
ZC3H12D	Zc3h12d	Zc3h12d
IL22RA2	Il22ra2	Il22ra2
IL20RA	Il20ra	Il20ra
ALDH8A1	Aldh8a1	Aldh8a1
TBPL1	Tbpl1	NA
L3MBTL3	L3mbtl3	L3mbtl3
SH3RF3	Sh3rf3	Sh3rf3
ADAMTS14	Adamts14	Adamts14
LRRC3	Lrrc3	Lrrc3
C2CD4C	C2cd4c	C2cd4c
MEX3D	Mex3d	Mex3d
LINGO3	Lingo3	Lingo3
RIC8B	Ric8b	Ric8b
GAS2L3	Gas2l3	Gas2l3
CDK17	Cdk17	Cdk17
CCDC38	Ccdc38	Ccdc38
TMTC3	Tmtc3	Tmtc3
PTPRQ	Ptprq	Ptprq
OSBPL8	Osbpl8	Osbpl8
TRHDE	Trhde	Trhde
MYRFL	Myrfl	Myrfl
LRRC10	Lrrc10	Lrrc10
STAC3	Stac3	Stac3
ANKRD52	Ankrd52	Ankrd52
PLA2G3	Pla2g3	Pla2g3
NPC1L1	Npc1l1	Npc1l1
EML6	Eml6	Eml6
GPR75	Gpr75	Gpr75
FBLL1	Fbll1	Fbll1
BTNL9	Btnl9	Btnl9
ZNF454	Zfp454	Znf454
COL23A1	Col23a1	Col23a1
SOWAHA	Sowaha	Sowaha
MIEF2	Mief2	Mief2
SMCR8	Smcr8	Smcr8
PFAS	Pfas	Pfas
SLC13A5	Slc13a5	Slc13a5
RTN4RL1	Rtn4rl1	Rtn4rl1
TRARG1	Trarg1	Trarg1
NSRP1	Nsrp1	Nsrp1
SSH2	Ssh2	Ssh2
SARM1	Sarm1	Sarm1
ATAD5	Atad5	Atad5
SLFN14	Slfn14	Slfn14
GAS2L2	Gas2l2	Gas2l2
USP32	Usp32	Usp32
BRIP1	Brip1	Brip1
RSAD1	Rsad1	Rsad1
PHOSPHO1	Phospho1	Phospho1
TTLL6	Ttll6	Ttll6
KRT39	Krt39	Krt39
AOC2	Aoc2	NA
GPATCH8	Gpatch8	Gpatch8
SPPL2C	Sppl2c	Sppl2c
SDK2	Sdk2	Sdk2
OTOP2	Otop2	Otop2
CDR2L	Cdr2l	Cdr2l
ENPP7	Enpp7	Enpp7
FSCN2	Fscn2	Fscn2
HEXD	Hexd	Hexd
FN3KRP	Fn3krp	Fn3krp
WDCP	Wdcp	Wdcp
GDF7	Gdf7	Gdf7
COG5	Cog5	Cog5
DOCK4	Dock4	Dock4
LRFN5	Lrfn5	Lrfn5
RPL10L	Rpl10l	Rpl10l
ARID4A	Arid4a	Arid4a
GPR135	Gpr135	Gpr135
TMEM30B	Tmem30b	Tmem30b
SYT16	Syt16	Syt16
MIDEAS	Mideas	Mideas
RPS6KL1	Rps6kl1	Rps6kl1
VASH1	Vash1	Vash1
IRF2BPL	Irf2bpl	Irf2bpl
ZDHHC22	Zdhhc22	Zdhhc22
SAMD15	Samd15	Samd15
GPR68	Gpr68	Gpr68
SLC24A4	Slc24a4	Slc24a4
BTBD7	Btbd7	Btbd7
MACC1	Macc1	Macc1
TUBAL3	Tubal3	Tubal3
BTN2A2	Btn2a2	NA
MYLK4	Mylk4	Mylk4
ZNF367	Zfp367	Zfp367
CNTNAP3	Cntnap3	Cntnap3
GPR150	Gpr150	Gpr150
FAM81B	Fam81b	Fam81b
TNPO1	Tnpo1	Tnpo1
ZNF366	Zfp366	Zfp366
PPWD1	Ppwd1	Ppwd1
GAPT	Gapt	Gapt
ACTBL2	Actbl2	Actbl2
CDC20B	Cdc20b	NA
CDHR18P	Cdhr18	Cdhr18
ERC2	Erc2	Erc2
OGDHL	Ogdhl	Ogdhl
ARHGAP22	Arhgap22	Arhgap22
ANTXRL	Antxrl	Antxrl1
LRIT1	Lrit1	Lrit1
LRIT2	Lrit2	Lrit2
CCNB1IP1	Ccnb1ip1	Ccnb1ip1
CDH24	Cdh24	Cdh24
HOMEZ	Homez	Homez
ZFHX2	Zfhx2	Zfhx2
IL17D	Il17d	Il17d
SETDB2	Setdb2	Setdb2
DLEU7	Dleu7	Dleu7
PNMA2	Pnma2	Pnma2
FHIP2B	Fhip2b	Fhip2b
ENOX1	Enox1	Enox1
KCTD12	Kctd12	Kctd12
SLITRK6	Slitrk6	Slitrk6
OXGR1	Oxgr1	Oxgr1
PLCXD3	Plcxd3	Plcxd3
CARD6	Card6	Card6
RXFP3	Rxfp3	Rxfp3
ADAMTS12	Adamts12	Adamts12
TSPYL5	Tspyl5	Tspyl5
ERICH5	Erich5	Erich5
LRP12	Lrp12	Lrp12
RSPO2	Rspo2	Rspo2
TMEM74	Tmem74	Tmem74
CSMD3	Csmd3	Csmd3
AARD	Aard	Aard
SLC30A8	Slc30a8	Slc30a8
COLEC10	Colec10	Colec10
FAM83A	Fam83a	Fam83a
PHF20L1	Phf20l1	Phf20l1
ZNF250	Zfp647	NA
FOXRED2	Foxred2	Foxred2
MIEF1	Mief1	Mief1
TTC38	Ttc38	Ttc38
TTLL8	Ttll8	Ttll8
MUC19	Muc19	Muc19
PDZRN4	Pdzrn4	Pdzrn4
PCED1B	Pced1b	Pced1b
CCDC184	Ccdc184	Ccdc184
ZNF641	Zfp641	Zfp641
C1QL4	C1ql4	C1ql4
DIP2B	Dip2b	Dip2b
C16orf89	AU021092	C10h16orf89
METTL22	Mettl22	Mettl22
MRTFB	Mrtfb	Mrtfb
LAMP3	Lamp3	Lamp3
KLHL6	Klhl6	Klhl6
LIPH	Liph	Liph
RTP1	Rtp1	Rtp1
GMNC	Gmnc	Gmnc
OSTN	Ostn	Ostn
MB21D2	Mb21d2	Mb21d2
PIGZ	Pigz	Pigz
LMLN	Lmln	Lmln
CCDC14	Ccdc14	Ccdc14
GPR156	Gpr156	Gpr156
ZPLD1	Zpld1	Zpld1
ADGRG7	Adgrg7	Adgrg7
CADM2	Cadm2	Cadm2
CLDN17	Cldn17	Cldn17
KRTAP24-1	Krtap24-1	Krtap24-1
KRTAP27-1	Krtap27-1	Krtap27-1
ARID1B	Arid1b	Arid1b
PNLDC1	Pnldc1	Pnldc1
DACT2	Dact2	Dact2
MMP25	Mmp25	Mmp25
NEURL1B	Neurl1b	Neurl1b
CPNE5	Cpne5	Cpne5
CCHCR1	Cchcr1	Cchcr1
MDC1	Mdc1	Mdc1
ST6GAL2	St6gal2	St6gal2
FSD1	Fsd1	Fsd1
LRRC30	Lrrc30	Lrrc30
RASGRP3	Rasgrp3	Rasgrp3
THADA	Thada	Thada
JCAD	Jcad	Jcad
ZNF438	Zfp438	Zfp438
SLC4A9	Slc4a9	Slc4a9
GPR151	Gpr151	Gpr151
YTHDC2	Ythdc2	Ythdc2
CCDC112	Ccdc112	Ccdc112
FEM1C	Fem1c	Fem1c
DMXL1	Dmxl1	Dmxl1
ADAMTS19	Adamts19	Adamts19
PCYOX1L	Pcyox1l	Pcyox1l
MALT1	Malt1	Malt1
MEX3C	Mex3c	Mex3c
LOXHD1	Loxhd1	Loxhd1
SETBP1	Setbp1	Setbp1
ADNP2	Adnp2	Adnp2
KCNG2	Kcng2	Kcng2
ZNF407	Zfp407	Zfp407
DIPK1C	Dipk1c	Dipk1c
CDC42BPG	Cdc42bpg	Cdc42bpg
CCDC85B	Ccdc85b	Ccdc85b
PELI3	Peli3	Peli3
DMRT3	Dmrt3	Dmrt3
KCNV2	Kcnv2	Kcnv2
BRD10	Brd10	Brd10
RANBP6	Ranbp6	Ranbp6
SLC16A12	Slc16a12	Slc16a12
KIF20B	Kif20b	Kif20b
SLC35G1	Slc35g1	Slc35g1
CCNJ	Ccnj	Ccnj
SEC31B	Sec31b	Sec31b
VWA2	Vwa2	Vwa2
ST18	St18	St18
MCMDC2	Mcmdc2	Mcmdc2
SLCO5A1	Slco5a1	Slco5a1
PIK3C2B	Pik3c2b	Pik3c2b
PLEKHA6	Plekha6	Plekha6
LAX1	Lax1	Lax1
KLHL12	Klhl12	Klhl12
KCNT2	Kcnt2	Kcnt2
RGSL1	Rgsl1	Rgsl1
TOR1AIP2	Tor1aip2	Tor1aip2
BRINP2	Brinp2	Brinp2
ZBTB37	Zbtb37	Zbtb37
TNFSF18	Tnfsf18	Tnfsf18
NTMT2	Ntmt2	Ntmt2
SCYL3	Scyl3	Scyl3
GPR161	Gpr161	Gpr161
STYXL2	Styxl2	Styxl2
LRRC52	Lrrc52	Lrrc52
VSIG8	Vsig8	Vsig8
DNAH14	Dnah14	Dnah14
PKHD1	Pkhd1	Pkhd1
PGAP1	Pgap1	Pgap1
CARF	Carf	Carf
DYTN	Dytn	Dytn
PLEKHM3	Plekhm3	Plekhm3
CATIP	Catip	Catip
PRKAG3	Prkag3	Prkag3
CFAP65	Cfap65	Cfap65
FAM124B	Fam124b	Fam124b
NYAP2	Nyap2	Nyap2
ANKMY1	Ankmy1	Ankmy1
NEU4	Neu4	Neu4
SERPINB13	Serpinb13	Serpinb13
SERPINB10	Serpinb10	Serpinb10
ITGA8	Itga8	Itga8
ST8SIA6	St8sia6	St8sia6
GPR158	Gpr158	Gpr158
PNPLA7	Pnpla7	Pnpla7
NOXA1	Noxa1	Noxa1
PPP1R26	Ppp1r26	Ppp1r26
LRRC8A	Lrrc8a	Lrrc8a
FAM78A	Fam78a	Fam78a
RALGPS1	Ralgps1	Ralgps1
ZBTB34	Zbtb34	Zbtb34
ZBTB6	Zbtb6	Zbtb6
CRB2	Crb2	Crb2
OLFML2A	Olfml2a	Olfml2a
XIRP2	Xirp2	Xirp2
CERS6	Cers6	Cers6
RBM45	Rbm45	Rbm45
ZNF385B	Zfp385b	Zfp385b
ZNF804A	Zfp804a	Zfp804a
FSIP2	Fsip2	Fsip2
FAM171B	Fam171b	Fam171b
YPEL4	Ypel4	Ypel4
LRRC55	Lrrc55	Lrrc55
HARBI1	Harbi1	Harbi1
TSPAN18	Tspan18	Tspan18
LRRC4C	Lrrc4c	Lrrc4c
LDLRAD3	Ldlrad3	Ldlrad3
KIAA1549L	D430041D05Rik	D430041D05Rikl
SLC5A12	Slc5a12	Slc5a12
EXD1	Exd1	Exd1
WDR76	Wdr76	Wdr76
ATP8B4	Atp8b4	Atp8b4
TGM6	Tgm6	Tgm6
LZTS3	Lzts3	Lzts3
FERMT1	Fermt1	Fermt1
PAK5	Pak5	Pak5
DZANK1	Dzank1	Dzank1
RALGAPA2	Ralgapa2	Ralgapa2
SNPH	Snph	Snph
L3MBTL1	L3mbtl1	L3mbtl1
RIMS4	Rims4	Rims4
KCNG1	Kcng1	Kcng1
LSM14B	Lsm14b	Lsm14b
ABHD16B	Abhd16b	Abhd16b
SLC10A5	Slc10a5	Slc10a5
